,team,games,errors,pick_offs,putouts,assists,double_plays,fielding_pct,passed_balls,stolen_bases,caught_stealing,cs_percent,year,win,lose,draw,win_rate,rank,errors_per_game,pick_offs_per_game,putouts_per_game,assists_per_game,double_plays_per_game,passed_balls_per_game,predicted_win_rate,residual
10,Hyundai Unicorns,133,82,10,3559,1445,125,0.984,12,82,46,35.9,2002,70,58,5,0.547,3,0.6165413533834586,0.07518796992481203,26.7593984962406,10.864661654135338,0.9398496240601504,0.09022556390977443,0.5175030272527268,0.029496972747273253
11,LG Twins,133,91,10,3572,1369,139,0.982,8,67,48,41.7,2002,66,61,6,0.52,4,0.6842105263157895,0.07518796992481203,26.857142857142858,10.293233082706767,1.0451127819548873,0.06015037593984962,0.5367112322568284,-0.016711232256828357
12,Lotte Giants,133,117,2,3504,1523,165,0.977,13,107,41,27.7,2002,35,97,1,0.265,8,0.8796992481203008,0.015037593984962405,26.345864661654137,11.451127819548873,1.2406015037593985,0.09774436090225563,0.4362375445430704,-0.17123754454307039
13,Incheon,133,94,8,3537,1363,95,0.981,8,129,50,27.9,2002,61,69,3,0.469,6,0.706766917293233,0.06015037593984962,26.593984962406015,10.24812030075188,0.7142857142857143,0.06015037593984962,0.4849968341688644,-0.015996834168864438
14,Samsung Lions,133,87,5,3593,1409,115,0.983,14,74,65,46.8,2002,82,47,4,0.636,1,0.6541353383458647,0.03759398496240601,27.015037593984964,10.593984962406015,0.8646616541353384,0.10526315789473684,0.5677398711096062,0.06826012889039379
15,Kia Tigers,133,101,1,3585,1403,127,0.98,12,75,60,44.4,2002,78,51,4,0.605,2,0.7593984962406015,0.007518796992481203,26.954887218045112,10.548872180451127,0.9548872180451128,0.09022556390977443,0.5559194372609282,0.0490805627390718
16,Doosan Bears,133,90,2,3527,1403,135,0.982,10,108,39,26.5,2003,57,74,2,0.435,7,0.6766917293233082,0.015037593984962405,26.518796992481203,10.548872180451127,1.0150375939849625,0.07518796992481203,0.4702212918580182,-0.0352212918580182
17,Hanwha Eagles,133,75,4,3576,1324,97,0.985,7,110,37,25.2,2003,63,65,5,0.492,5,0.5639097744360902,0.03007518796992481,26.887218045112782,9.954887218045112,0.7293233082706767,0.05263157894736842,0.5426214491811665,-0.05062144918116651
18,Hyundai Unicorns,133,112,3,3570,1448,131,0.978,9,120,73,37.8,2003,80,51,2,0.611,1,0.8421052631578947,0.022556390977443608,26.842105263157894,10.887218045112782,0.9849624060150376,0.06766917293233082,0.5337561237946584,0.07724387620534157
19,Kia Tigers,133,70,1,3534,1493,123,0.986,7,48,52,52.0,2003,78,50,5,0.609,2,0.5263157894736842,0.007518796992481203,26.571428571428573,11.225563909774436,0.924812030075188,0.05263157894736842,0.4805641714756108,0.12843582852438917
20,LG Twins,133,98,15,3509,1308,116,0.98,6,47,52,52.5,2003,60,71,2,0.458,6,0.7368421052631579,0.11278195488721804,26.383458646616543,9.834586466165414,0.8721804511278195,0.045112781954887216,0.44362531569849395,0.014374684301506069
21,Lotte Giants,133,104,7,3493,1547,147,0.98,14,78,51,39.5,2003,39,91,3,0.3,8,0.7819548872180451,0.05263157894736842,26.263157894736842,11.631578947368421,1.105263157894737,0.10526315789473684,0.41998444800113877,-0.11998444800113878
22,Incheon,133,90,14,3544,1560,118,0.983,14,101,67,39.9,2003,66,64,3,0.508,4,0.6766917293233082,0.10526315789473684,26.646616541353385,11.729323308270677,0.8872180451127819,0.10526315789473684,0.4953397137864579,0.012660286213542093
23,Samsung Lions,133,75,10,3549,1379,118,0.985,9,81,54,40.0,2003,76,53,4,0.589,3,0.5639097744360902,0.07518796992481203,26.68421052631579,10.368421052631579,0.8872180451127819,0.06766917293233082,0.5027274849418806,0.08627251505811939
24,Doosan Bears,133,88,6,3533,1409,146,0.983,11,82,40,32.8,2004,70,62,1,0.53,3,0.6616541353383458,0.045112781954887216,26.56390977443609,10.593984962406015,1.0977443609022557,0.08270676691729323,0.4790866172445263,0.050913382755473746
25,Hanwha Eagles,133,95,8,3542,1397,115,0.981,11,96,40,29.4,2004,53,74,6,0.417,7,0.7142857142857143,0.06015037593984962,26.63157894736842,10.503759398496241,0.8646616541353384,0.08270676691729323,0.49238460532428796,-0.07538460532428798
26,Hyundai Unicorns,133,78,7,3561,1467,112,0.985,12,82,45,35.4,2004,75,53,5,0.586,1,0.5864661654135338,0.05263157894736842,26.774436090225564,11.030075187969924,0.8421052631578947,0.09022556390977443,0.5204581357148967,0.06554186428510322
27,Kia Tigers,133,79,2,3549,1451,151,0.984,7,62,43,41.0,2004,67,61,5,0.523,4,0.5939849624060151,0.015037593984962405,26.68421052631579,10.909774436090226,1.1353383458646618,0.05263157894736842,0.5027274849418806,0.020272515058119445
28,LG Twins,133,104,13,3493,1361,142,0.979,16,64,51,44.3,2004,59,70,4,0.457,6,0.7819548872180451,0.09774436090225563,26.263157894736842,10.233082706766917,1.0676691729323309,0.12030075187969924,0.41998444800113877,0.03701555199886125
29,Lotte Giants,133,87,11,3571,1520,134,0.983,9,89,45,33.6,2004,50,72,11,0.41,8,0.6541353383458647,0.08270676691729323,26.849624060150376,11.428571428571429,1.0075187969924813,0.06766917293233082,0.535233678025743,-0.12523367802574298
30,Incheon,133,83,10,3559,1469,147,0.984,12,90,60,40.0,2004,61,64,8,0.488,5,0.6240601503759399,0.07518796992481203,26.7593984962406,11.045112781954888,1.105263157894737,0.09022556390977443,0.5175030272527268,-0.0295030272527268
31,Samsung Lions,133,88,7,3589,1424,112,0.983,13,86,66,43.4,2004,73,52,8,0.584,2,0.6616541353383458,0.05263157894736842,26.984962406015036,10.706766917293233,0.8421052631578947,0.09774436090225563,0.5618296541852672,0.02217034581473276
32,Doosan Bears,126,80,7,3375,1299,149,0.983,12,86,36,29.5,2005,72,51,3,0.585,2,0.6349206349206349,0.05555555555555555,26.785714285714285,10.30952380952381,1.1825396825396826,0.09523809523809523,0.5226744670615231,0.06232553293847687
